work,male,female,salaryMale,salaryFemale,timeMale,timeFemale,hourMale,hourFemale
金融及保險業,143343,231791,93015,79552,162.4,162.4,572.7524631,489.8522167
電力及燃氣供應業,25546,4244,99346,78969,176.2,166.8,563.8251986,473.4352518
醫療保健服務業,65067,269454,99187,55631,171.1,172.5,579.7019287,322.4985507
資訊及通訊傳播業,102715,92946,72677,59576,166,164.2,437.813253,362.8258222
專業、科學及技術服務業,134112,118947,63364,52489,172.3,168.6,367.7539176,311.3226572
運輸及倉儲業,192866,90951,53841,45660,181.3,171.1,296.9718698,266.8614845
礦業及土石採取業,3212,688,56391,42176,178.6,175.5,315.7390817,240.3190883
批發及零售業,775454,865439,48437,42845,171.6,170.2,282.2668998,251.733255
用水供應及污染整治業,21370,6463,44385,43515,177.1,170.3,250.621118,255.5196712
製造業,1613930,1102573,52853,37892,183.4,179.6,288.1842966,210.9799555
不動產業,58244,58904,42268,42433,178.6,175.8,236.6629339,241.370876
營造業,386161,74521,45323,33104,172.8,168.9,262.2858796,195.9976317
住宿服務業,29496,39141,41353,32215,172,174.6,240.4244186,184.5074456
藝術、娛樂及休閒服務業,28482,27058,43613,28366,178.7,176.6,244.0570789,160.6228766
教育服務業,22834,50439,27045,23060,124.1,136.8,217.9290894,168.5672515
支援服務業,171299,170253,35731,35610,198.6,174.4,179.9144008,204.1857798
其他服務業,36357,50024,39607,30833,185,192.7,214.0918919,160.0051894