sy,degree,pay
2016,平均,26723
2016,國中以下,22221
2016,高中或高職,23380
2016,專科,25198
2016,大學,28116
2016,研究所以上,33313
2015,平均,26230
2015,國中以下,21836
2015,高中或高職,22980
2015,專科,24824
2015,大學,27655
2015,研究所以上,32638
2014,平均,25634
2014,國中以下,20986
2014,高中或高職,22341
2014,專科,24304
2014,大學,27193
2014,研究所以上,32269
2013,平均,25175
2013,國中以下,20690
2013,高中或高職,21946
2013,專科,23890
2013,大學,26915
2013,研究所以上,32017
2012,平均,25036
2012,國中以下,20375
2012,高中或高職,21727
2012,專科,23732
2012,大學,26722
2012,研究所以上,31639
2011,平均,24655
2011,國中以下,19822
2011,高中或高職,21183
2011,專科,23388
2011,大學,26577
2011,研究所以上,32321